ID: 1, Nome: João Silva, Disciplina: Matemática, Nota: 8.5
ID: 2, Nome: Maria Oliveira, Disciplina: Matemática, Nota: 7.0
ID: 3, Nome: Paulo Sousa, Disciplina: Matemática, Nota: 9.0
ID: 4, Nome: Ana Costa, Disciplina: Matemática, Nota: 8.0
ID: 5, Nome: Tiago Pereira, Disciplina: Matemática, Nota: 6.5
ID: 6, Nome: Carla Mendes, Disciplina: Matemática, Nota: 7.5
ID: 7, Nome: Sofia Ferreira, Disciplina: Matemática, Nota: 9.0
ID: 8, Nome: Miguel Ramos, Disciplina: Matemática, Nota: 7.5
ID: 9, Nome: Catarina Martins, Disciplina: Matemática, Nota: 6.0
ID: 10, Nome: Bruno Alves, Disciplina: Matemática, Nota: 8.5
ID: 11, Nome: Luís Santos, Disciplina: Matemática, Nota: 7.0
ID: 12, Nome: Mariana Lima, Disciplina: Matemática, Nota: 9.5
ID: 13, Nome: João Silva, Disciplina: Física, Nota: 8.0
ID: 14, Nome: Maria Oliveira, Disciplina: Física, Nota: 7.5
ID: 15, Nome: Paulo Sousa, Disciplina: Física, Nota: 6.5
ID: 16, Nome: Ana Costa, Disciplina: Física, Nota: 7.0
ID: 17, Nome: Tiago Pereira, Disciplina: Física, Nota: 8.5
ID: 18, Nome: Carla Mendes, Disciplina: Física, Nota: 9.0
ID: 19, Nome: Sofia Ferreira, Disciplina: Física, Nota: 7.5
ID: 20, Nome: Miguel Ramos, Disciplina: Física, Nota: 6.0
ID: 21, Nome: Catarina Martins, Disciplina: Física, Nota: 7.0
ID: 22, Nome: Bruno Alves, Disciplina: Física, Nota: 8.0
ID: 23, Nome: Luís Santos, Disciplina: Física, Nota: 9.0
ID: 24, Nome: Mariana Lima, Disciplina: Física, Nota: 7.5
ID: 25, Nome: João Silva, Disciplina: Química, Nota: 8.5
ID: 26, Nome: Maria Oliveira, Disciplina: Química, Nota: 7.0
ID: 27, Nome: Paulo Sousa, Disciplina: Química, Nota: 6.5
